Year,Carbon Dioxide
1990,1493.757513
1991,1447.602207
1992,1496.851764
1993,1532.411906
1994,1576.979746
1995,1609.861854
1996,1654.301956
1997,1670.141168
1998,1706.636038
1999,1761.056847
2000,1805.460287
2001,1789.428673
2002,1830.640519
2003,1822.260762
2004,1867.141408
2005,1887.033287
2006,1882.63315
2007,1886.148537
2008,1791.798116
2009,1716.96647
2010,1728.267474
2011,1707.630843
2012,1696.752099
2013,1713.008121
2014,1737.597993
2013,1713.008121
2014,1737.597993